###############################################################################
Defintion of the variables
  index: ID of structure
  coordiantion: number of the first neigbor of the center Au
  Ead: adsorption energy
  AuC: distance between center Au and C
  com_dis: distance between center Au and center of mass of CO
  angle: angle between center Au, C and O
###############################################################################

index coordination Ead_vacuum Ead_reqm AuC_vacuum AuC_reqmcom_dis_vacuum com_dis_reqm angle_vacuum angle_reqm
  900533   9   -0.5850   -0.4771    2.0541    2.0718   2.7050    2.6694    171.04    151.52
  900537   9   -0.5788   -0.5000    2.0594    2.0713   2.7067    2.6617    168.43    149.75
  900669   9   -0.5873   -0.5421    2.0554    2.0734   2.7056    2.7038    170.42    161.49
  900790   9   -0.6405   -0.5162    2.0433    2.0612   2.7009    2.6565    179.29    150.82
  901521   9   -0.5800   -0.4874    2.0732    2.0833   2.7155    2.6773    165.74    150.45
  902165   9   -0.5613   -0.5041    2.0615    2.0789   2.7173    2.6608    177.31    147.74
  902356   9   -0.8611   -0.7928    2.1488    2.2854   2.7022    2.7475    141.12    128.24
  902528   9   -0.5206   -0.3637    2.0755    2.0921   2.7268    2.6577    170.83    144.41
  902666   9   -0.6338   -0.7520    2.0493    2.0669   2.7066    2.7209    180.00    179.85
  902880   9   -0.6143   -0.5706    2.0580    2.0767   2.7076    2.7269    168.75    169.78
  902982   9   -0.6437   -0.6978    2.0492    2.0635   2.7066    2.6974    179.97    162.95
  903140   9   -0.5242   -0.5209    2.0569    2.0749   2.7066    2.6649    169.88    149.65
  903266   9   -0.5759   -0.5336    2.0615    2.0792   2.7121    2.6844    170.57    153.67
  903473   9   -0.6086   -0.5167    2.0402    2.0569   2.6958    2.6597    175.67    152.57
   01006   7   -0.7752   -0.9170    2.0160    2.0178   2.6733    2.6667    177.96    169.52
   01008   8   -0.7778   -0.7733    2.0207    2.0338   2.6774    2.6896    178.08    178.43
   01017   8   -0.7019   -0.7117    2.0312    2.0485   2.6880    2.7024    177.17    177.39
   01024   9   -0.6032   -0.5440    2.0634    2.0813   2.7151    2.7126    171.90    161.52
   03016   6   -0.9643   -1.0092    1.9914    2.0052   2.6471    2.6570    175.39    172.60
   03025   9   -0.8795   -0.8645    2.2385    2.3688   2.7485    2.7926    134.82    123.77
   04004   8   -0.7031   -0.6961    2.0187    2.0282   2.6767    2.6456    179.09    156.51
   04011   6   -0.9331   -1.1317    1.9925    1.9955   2.6442    2.6495    171.14    173.28
   04012   7   -0.8331   -0.8730    2.0041    2.0056   2.6617    2.6603    177.30    175.63
