ID  E_adsorption/eV
801601   8   0.2272
801609   8   0.2407
801613   8   0.1467
801627   8   0.1291
801634   8   0.2469
801657   8   0.2497
801680   8   0.2227
801682   8   0.0946
801689   8   0.1331
801700   8   0.0756
801701   8   0.1350
801703   8   0.1816
801719   8   0.3219
801728   8   0.1106
801739   8   0.2844
801740   8   0.2093
801754   8   0.2617
801767   8   0.2624
801773   8   0.1627
801782   8   0.3536
801788   8   0.2304
801799   8   0.2889
801804   8   0.2526
801813   8   0.1985
801816   8   0.2405
801841   8   0.1451
801853   8   0.1981
801886   8   0.2682
801891   8   0.1717
801898   8   0.1468
801932   8   0.1418
801940   8   0.0990
801968   8   0.0783
801979   8   0.1386
801999   8   0.1348
802024   8   0.2712
802033   8   0.1218
802071   8   0.1939
802076   8   0.0537
802079   8   0.2437
802093   8   0.1182
802101   8  -0.0215
802109   8   0.0530
802110   8   0.2246
802112   8   0.1553
802113   8   0.1130
802124   8   0.2469
802165   8   0.1418
802181   8   0.1697
802191   8   0.1346
802200   8   0.2282
802211   8   0.3391
802214   8   0.2840
802253   8   0.2991
802278   8   0.1994
802279   8   0.0916
802289   8   0.1698
802290   8   0.3236
802294   8   0.1845
802311   8   0.2089
802341   8   0.2217
802344   8   0.1363
802376   8   0.0954
802414   8   0.2153
802418   8   0.1293
802436   8   0.1911
802450   8   0.0131
802491   8   0.2272
802504   8   0.0709
802526   8   0.1215
802566   8   0.1333
802582   8   0.2067
802583   8   0.1229
802590   8   0.1190
802597   8   0.1221
802600   8   0.2403
802618   8   0.1756
802635   8   0.0166
8063     6   0.1182
8096     6  -0.0755
8110     6   0.0886
8129     6  -0.0417
8155     6   0.0778
8324     4   0.1014
8344     6   0.1009
8353     6   0.0900
8380     6  -0.0641
8425     6   0.0481
8463     7   0.0896
8480     6   0.0106
8515     6   0.0561
8521     6  -0.0139
8532     6  -0.0567
8558     6   0.0347
8606     7   0.0514
8632     6   0.0156
8659     6  -0.0971
8696     8   0.1808
8701     6   0.1520
8773     6   0.0298
8881     6  -0.0904
8956     8   0.1434
8976     8   0.1457
900000   9   0.2292
900023   9   0.2280
900026   9   0.3405
900030   9   0.2958
900034   9   0.1900
900041   9   0.2784
900046   9   0.1638
900067   9   0.2050
900107   9   0.3033
900112   9   0.2730
900115   9   0.2621
900119   9   0.2890
900120   9   0.3377
900135   9   0.0987
900136   9   0.2444
900142   9   0.1151
900152   9   0.4046
900154   9   0.2323
900156   9   0.2063
900161   9   0.2246
900181   9   0.3729
900183   9   0.3740
900196   9   0.3901
900213   9   0.2498
900244   9   0.3623
900256   9   0.2087
900274   9   0.0969
900298   9   0.3760
900327   9   0.2668
900340   9   0.2821
900364   9   0.1784
900383   9   0.2901
900384   9   0.2674
900388   9   0.1756
900398   9   0.2483
900423   9   0.4017
900451   9   0.3145
900460   9   0.2168
900464   9   0.2190
900486   9   0.3115
900496   9   0.2816
900510   9   0.1591
900521   9   0.2318
900533   9   0.1795
900564   9   0.2926
900637   9   0.2530
900642   9   0.3853
900645   9   0.2189
900691   9   0.1982
900712   9   0.1950
900717   9   0.2331
900737   9   0.2947
900750   9   0.1911
900759   9   0.2014
900773   9   0.2520
900781   9   0.1534
900802   9   0.4780
900803   9   0.2553
900804   9   0.2327
900832   9   0.1206
900840   9   0.2111
900859   9   0.2502
900882   9   0.2611
900903   9   0.2163
900918   9   0.2112
900920   9   0.2414
900921   9   0.2680
900945   9   0.2668
900967   9   0.2944
900977   9   0.4063
900996   9   0.2722
901003   9   0.1832
901020   9   0.2228
901023   9   0.2494
901048   9   0.2265
901055   9   0.2222
901070   9   0.2554
901079   9   0.2882
901084   9   0.1911
901086   9   0.2773
901110   9   0.2410
901119   9   0.1670
901154   9   0.1543
901166   9   0.2190
901169   9   0.4828
901174   9   0.3069
901183   9   0.2036
901190   9   0.3656
901204   9   0.2319
901214   9   0.2057
901216   9   0.2332
901228   9   0.2346
901262   9   0.2820
901271   9   0.2503
901292   9   0.2001
901294   9   0.2419
901297   9   0.3201
901305   9   0.2617
901344   9   0.2558
901350   9   0.1513
901353   9   0.2030
901402   9   0.1874
901453   9   0.2846
901457   9   0.2802
901466   9   0.1840
901473   9   0.1599
901523   9   0.4000
901524   9   0.2794
901534   9   0.2865
901536   9   0.2252
901544   9   0.2075
901559   9   0.2833
901595   9   0.2071
901623   9   0.4239
901625   9   0.2874
901636   9   0.2485
901638   9   0.2191
901648   9   0.2258
901651   9   0.2172
901654   9   0.1856
901657   9   0.2182
901686   9   0.3409
901687   9   0.2421
901690   9   0.1987
901704   9   0.2092
901736   9   0.2651
901764   9   0.1954
901780   9   0.1891
901782   9   0.2402
901844   9   0.1521
901849   9   0.2369
901861   9   0.4006
901875   9   0.2119
901899   9   0.4567
901963   9   0.2877
901967   9   0.3005
901974   9   0.2656
902046   9   0.2255
902047   9   0.1861
902052   9   0.1229
902060   9   0.1983
902065   9   0.2253
902149   9   0.4231
902175   9   0.2241
902212   9   0.2191
902225   9   0.2575
902234   9   0.1870
902250   9   0.3806
902253   9   0.2797
902260   9   0.2295
902262   9   0.1665
902309   9   0.3849
902324   9   0.1409
902328   9   0.1627
902336   9   0.2839
902348   9   0.2335
902407   9   0.2269
902499   9   0.1229
902516   9   0.3961
902538   9   0.2877
902587   9   0.2151
902628   9   0.3034
902708   9   0.2538
902722   9   0.3406
902727   9   0.3479
902731   9   0.2254
902753   9   0.1756
902787   9   0.2145
902799   9   0.1747
902802   9   0.3975
902809   9   0.1751
902843   9   0.2366
902849   9   0.2106
902857   9   0.1210
902869   9   0.2238
902884   9   0.3034
902894   9   0.3415
902904   9   0.2368
902942   9   0.1310
902965   9   0.2834
902976   9   0.3142
903015   9   0.2479
903016   9   0.2227
903035   9   0.2797
903054   9   0.2498
903069   9   0.0950
903104   9   0.3285
903201   9   0.1760
903256   9   0.2825
903315   9   0.2431
903333   9   0.2703
903356   9   0.2643
903363   9   0.2654
903371   9   0.2297
903382   9   0.2943
903446   9   0.3336
903488   9   0.3988
903503   9   0.3230
903511   9   0.2942
903538   9   0.2681
903563   9   0.2575
