system Eqm_adsorption(eV) Ereqm_adsorption(eV) Ereqm_adsorption_solv_fixed(eV) Ereqm_adsorption_solv_min(eV)
CONTCAR_AuCO_700053 -0.71730000 -0.71463641 -0.78813198 -0.80056235 
CONTCAR_AuCO_700065 -0.78040000 -0.75508878 -0.80544898 -0.80264028 
CONTCAR_AuCO_700112 -0.84070000 -0.82251610 -0.92709926 -0.92423374 
CONTCAR_AuCO_700227 -0.82100000 -0.80443819 -0.89743918 -0.89220042 
CONTCAR_AuCO_700434 -0.91390000 -0.85229458 -0.94552019 -0.89163294 
CONTCAR_AuCO_700444 -0.81150000 -0.76969503 -0.78775374 -0.79926118 
CONTCAR_AuCO_700589 -0.81770000 -0.83057051 -0.82046919 -0.82204907 
CONTCAR_AuCO_701076 -0.88090000 -0.85169586 -0.97639298 -0.98779169 
CONTCAR_AuCO_701265 -0.79920000 -0.76135210 -0.84579351 -0.84585325 
CONTCAR_AuCO_701359 -0.84230000 -0.84396071 -0.88170107 -0.88010251 
CONTCAR_AuCO_701432 -0.80140000 -0.80457230 -0.88465308 -0.89031456 
CONTCAR_AuCO_701527 -0.80740000 -0.81135636 -0.86178715 -0.88275447 
CONTCAR_AuCO_701598 -0.87170000 -0.84993120 -0.87775459 -0.87153216 
CONTCAR_AuCO_701851 -0.80650000 -0.79092214 -0.78609318 -0.79688064 
CONTCAR_AuCO_702063 -1.22670000 -1.14513737 -0.96372018 -1.01730665 
CONTCAR_AuCO_702753 -0.78460000 -0.76778006 -0.78883893 -0.77522480 
CONTCAR_AuCO_7449 -0.80130000 -0.74915847 -0.86925029 -0.87699707 
CONTCAR_AuCO_7868 -0.85480000 -0.83800118 -0.86315371 -0.86538874 
CONTCAR_AuCO_800089 -0.70620000 -0.67381447 -0.72459138 -0.75315789 
CONTCAR_AuCO_800189 -0.67420000 -0.65027463 -0.68957981 -0.70662689 
CONTCAR_AuCO_800517 -0.66800000 -0.64509824 -0.68789624 -0.68773393 
CONTCAR_AuCO_800674 -0.66750000 -0.64891379 -0.63733935 -0.63995088 
CONTCAR_AuCO_801356 -0.81670000 -0.81070633 -0.78666379 -0.80543130 
CONTCAR_AuCO_801649 -0.72100000 -0.69212084 -0.71737356 -0.72577247 
CONTCAR_AuCO_801687 -0.84070000 -0.80222815 -0.75570361 -0.73150156 
CONTCAR_AuCO_801703 -0.57750000 -0.56606416 -0.60518032 -0.60352746 
CONTCAR_AuCO_801845 -0.71160000 -0.66573293 -0.73441319 -0.75575175 
CONTCAR_AuCO_802309 -0.69020000 -0.69029736 -0.68996190 -0.68277900 
CONTCAR_AuCO_802479 -0.73930000 -0.69335180 -0.79463648 -0.79250471 
CONTCAR_AuCO_8696 -0.71210000 -0.67169178 -0.68401924 -0.66371304 
CONTCAR_AuCO_900059 -0.65360000 -0.55625176 -0.59102107 -0.52018406 
CONTCAR_AuCO_900086 -0.63670000 -0.51946944 -0.67726585 -0.66475760 
CONTCAR_AuCO_900203 -0.53530000 -0.44266218 -0.53667952 -0.46526716 
CONTCAR_AuCO_900339 -0.60940000 -0.55450914 -0.60116848 -0.61231378 
CONTCAR_AuCO_900732 -0.61580000 -0.55997094 -0.59895372 -0.59642594 
CONTCAR_AuCO_901104 -0.55260000 -0.51835836 -0.66038872 -0.64685878 
CONTCAR_AuCO_901130 -0.62290000 -0.59165997 -0.48207479 -0.47866913 
CONTCAR_AuCO_901241 -0.60600000 -0.58273763 -0.65955823 -0.65661197 
CONTCAR_AuCO_902065 -0.61570000 -0.52758939 -0.67501366 -0.67346315 
CONTCAR_AuCO_902084 -0.50250000 -0.45083965 -0.50593288 -0.48289459 
CONTCAR_AuCO_902203 -0.62840000 -0.58993513 -0.51823493 -0.51187168 
CONTCAR_AuCO_902215 -0.57100000 -0.54327915 -0.57462974 -0.55644844 
CONTCAR_AuCO_902328 -0.63160000 -0.56032173 -0.58550660 -0.56881241 
CONTCAR_AuCO_902348 -0.60880000 -0.51865550 -0.59854366 -0.52597019 
CONTCAR_AuCO_902799 -0.76400000 -0.73634005 -0.84834039 -0.83876111 
CONTCAR_AuCO_902818 -0.73970000 -0.71806070 -0.76375266 -0.74428404 
CONTCAR_AuCO_902838 -0.69630000 -0.69291862 -0.69963516 -0.70606173 
CONTCAR_AuCO_902949 -0.92570000 -0.86351247 -0.78608480 -0.82650575 
CONTCAR_AuCO_903171 -0.55430000 -0.54781253 -0.61858539 -0.61415686 
CONTCAR_AuCO_903524 -0.53220000 -0.48209253 -0.48021549 -0.43960564 
CONTCAR_AuCO_01023 -0.69170000 -0.58886329 -0.63593736 -0.55335512 
CONTCAR_AuCO_02012 -0.81770000 -0.79699681 -0.81454625 -0.83461254 
CONTCAR_AuCO_02025 -0.74180000 -0.71506234 -0.66903306 -0.68753244 
CONTCAR_AuCO_03003 -0.73870000 -0.75148061 -0.87826998 -0.87855868 
CONTCAR_AuCO_03005 -0.62860000 -0.48949570 -0.67554315 -0.61959243 
CONTCAR_AuCO_03022 -0.60820000 -0.50920481 -0.63292228 -0.55234085 
CONTCAR_AuCO_03023 -0.58600000 -0.57323202 -0.62600025 -0.64034599 
CONTCAR_AuCO_04013 -0.93250000 -0.93837777 -1.13364598 -1.12082002 
CONTCAR_AuCO_05001 -0.82640000 -0.80787462 -0.89430281 -0.90156480 
CONTCAR_AuCO_05008 -0.63710000 -0.56582159 -0.64508702 -0.62916468 
CONTCAR_AuCO_06004 -0.55650000 -0.52584666 -0.53725428 -0.50562632 
CONTCAR_AuCO_06005 -0.86260000 -0.83602272 -0.90305719 -0.89475921 
