###############################################################################
Defintion of the variables
  index: ID of structure
  coordiantion: number of the first neigbor of the center Au
  Ead: adsorption energy
  AuC: distance between center Au and C
  com_dis: distance between center Au and center of mass of OCOH
###############################################################################

index coordination Ead_vacuum Ead_reqm AuC_vacuum AuC_reqmcom_dis_vacuum com_dis_reqm
  901544   9    0.2075   -0.0468    2.1422    2.1386   2.6313    2.5955
  901638   9    0.2191   -0.0265    2.1215    2.1111   2.5953    2.5553
  901651   9    0.2172   -0.0110    2.1221    2.1110   2.6084    2.5795
  901657   9    0.2182   -0.1028    2.1198    2.1105   2.5925    2.5669
  902052   9    0.1229   -0.2757    2.1473    2.1413   2.6475    2.6309
  902225   9    0.2575   -0.0706    2.1266    2.1172   2.5972    2.5670
  902234   9    0.1870    0.1061    2.1357    2.1327   2.6108    2.5739
  902324   9    0.1409   -0.1463    2.1088    2.0978   2.5840    2.5582
  902587   9    0.2151   -0.0527    2.1287    2.1163   2.6020    2.5742
  903371   9    0.2297   -0.1522    2.1176    2.1293   2.5974    2.5916
  903382   9    0.2943   -0.0682    2.1522    2.1425   2.6235    2.6019
  903511   9    0.2942    0.0562    2.1375    2.1271   2.6109    2.5726
    0092   7   -0.0618   -0.4808    2.1006    2.0991   2.5904    2.5746
    0280   7   -0.1254   -0.3927    2.0863    2.0756   2.5547    2.5313
    0872   9    0.4676    0.2040    2.1300    2.1191   2.5997    2.5703
    1072   8    0.1910   -0.0164    2.1130    2.1010   2.5877    2.5546
 1110318   8    0.1148   -0.2017    2.1421    2.1302   2.5947    2.5814
 1110365   7    0.2392   -0.0974    2.0927    2.0821   2.5633    2.5400
 1110534   8    0.1517   -0.1065    2.1204    2.1099   2.6010    2.5716
 1110745   8    0.1989   -0.1041    2.1238    2.1138   2.5952    2.5771
 1110792   6    0.3216    0.0465    2.0997    2.0921   2.5910    2.5766
    2304   6    0.0019   -0.3984    2.0747    2.0832   2.5476    2.5410
    2527   6   -0.1306   -0.3596    2.0802    2.0759   2.5610    2.5412
    2572   7    0.0923   -0.3143    2.1033    2.0940   2.5760    2.5533
    2590   7   -0.0092   -0.2635    2.0796    2.0702   2.5589    2.5256
    3430   6   -0.0244   -0.3726    2.0849    2.0740   2.5529    2.5209
    3537   7   -0.0536   -0.3827    2.0909    2.0987   2.5612    2.5638
    3584   9    0.4909    0.2150    2.1356    2.1429   2.6096    2.6005
    5310   6    0.2439   -0.2006    2.0927    2.0816   2.5612    2.5347
  600077   6    0.0149   -0.4155    2.0715    2.0631   2.5395    2.5248
  600251   6   -0.0189   -0.1824    2.0687    2.0598   2.5446    2.5184
  600301   6    0.1243   -0.2492    2.0696    2.0600   2.5382    2.5216
  600505   6    0.1017   -0.1957    2.0787    2.0700   2.5546    2.5292
  600598   6    0.0163   -0.4249    2.0727    2.0719   2.5386    2.5359
  600601   6    0.0922   -0.3353    2.0798    2.0716   2.5443    2.5304
  600874   6    0.0794   -0.2904    2.0767    2.0690   2.5447    2.5267
  601161   6    0.1237   -0.3219    2.0788    2.0739   2.5436    2.5367
  601449   6   -0.0378   -0.4310    2.0742    2.0636   2.5486    2.5227
  601482   6    0.2179   -0.1531    2.0771    2.0682   2.5482    2.5381
  601525   6    0.0559   -0.2915    2.0701    2.0582   2.5347    2.5208
  601588   6    0.1479   -0.1699    2.0686    2.0578   2.5392    2.5170
