system Eqm_adsorption(eV) Ereqm_adsorption(eV) Ereqm_adsorption_solv_fixed(eV) Ereqm_adsorption_solv_min(eV)
CONTCAR_AuCOOH_800385 0.22140000 0.23318987 -0.15115203 -0.16025129 
CONTCAR_AuCOOH_800458 0.07400000 0.06046752 -0.20341170 -0.23101616 
CONTCAR_AuCOOH_800525 0.07340000 0.10779079 -0.16489122 -0.22131177 
CONTCAR_AuCOOH_800558 0.08290000 0.09964523 -0.33585026 -0.35567187 
CONTCAR_AuCOOH_800674 0.22270000 0.24171564 -0.02025180 -0.03728177 
CONTCAR_AuCOOH_801016 0.20570000 0.18746609 -0.15436617 -0.16847533 
CONTCAR_AuCOOH_801092 0.23980000 0.23946862 -0.01667181 -0.04136597 
CONTCAR_AuCOOH_801426 0.04250000 0.04712801 -0.18619419 -0.22021742 
CONTCAR_AuCOOH_801496 0.06040000 0.07540969 -0.08311239 -0.09347251 
CONTCAR_AuCOOH_801510 0.25770000 0.29018333 0.09443213 0.05712883 
CONTCAR_AuCOOH_801531 0.19310000 0.20673128 -0.03822106 -0.06720011 
CONTCAR_AuCOOH_801537 0.30710000 0.34359872 0.11395171 0.08054655 
CONTCAR_AuCOOH_801558 0.09590000 0.13580396 -0.34363265 -0.36153274 
CONTCAR_AuCOOH_801680 0.22270000 0.27127056 0.01264012 -0.01107574 
CONTCAR_AuCOOH_801703 0.18160000 0.20562935 -0.00842146 -0.02420365 
CONTCAR_AuCOOH_801999 0.13480000 0.17183291 0.01480288 -0.03202052 
CONTCAR_AuCOOH_802024 0.27120000 0.31208914 0.18056481 0.17236914 
CONTCAR_AuCOOH_802076 0.05370000 0.07771082 -0.19037925 -0.20309819 
CONTCAR_AuCOOH_802341 0.22170000 0.25314281 -0.04582370 -0.06300752 
CONTCAR_AuCOOH_802618 0.17560000 0.20440875 -0.08404093 -0.09336316 
CONTCAR_AuCOOH_8353 0.09000000 0.10267690 -0.15039454 -0.18973208 
CONTCAR_AuCOOH_900067 0.20500000 0.24033529 -0.12243013 -0.13668696 
CONTCAR_AuCOOH_900112 0.27300000 0.32838123 -0.00352908 -0.00739169 
CONTCAR_AuCOOH_900244 0.36230000 0.37823968 0.15045889 0.10761639 
CONTCAR_AuCOOH_900327 0.26680000 0.28668587 -0.05116268 -0.07256107 
CONTCAR_AuCOOH_900364 0.17840000 0.23883182 -0.05274092 -0.07984088 
CONTCAR_AuCOOH_900383 0.29010000 0.35552862 0.05027366 0.03497991 
CONTCAR_AuCOOH_900460 0.21680000 0.27058709 -0.10058771 -0.11958478 
CONTCAR_AuCOOH_900533 0.17950000 0.22647523 -0.09398777 -0.10356666 
CONTCAR_AuCOOH_900903 0.21630000 0.26363273 -0.03964359 -0.05972607 
CONTCAR_AuCOOH_901023 0.24940000 0.28910004 -0.05126639 -0.06909744 
CONTCAR_AuCOOH_901305 0.26170000 0.30587001 -0.02768822 -0.08226839 
CONTCAR_AuCOOH_901536 0.22520000 0.27618271 -0.07329237 -0.07303108 
CONTCAR_AuCOOH_901544 0.20750000 0.26215217 -0.03856932 -0.04677251 
CONTCAR_AuCOOH_901638 0.21910000 0.27651041 -0.00820687 -0.02649568 
CONTCAR_AuCOOH_901651 0.21720000 0.27594730 0.04182015 -0.01102888 
CONTCAR_AuCOOH_901657 0.21820000 0.23199843 -0.09617835 -0.10277425 
CONTCAR_AuCOOH_902052 0.12290000 0.13772717 -0.25894982 -0.27573819 
CONTCAR_AuCOOH_902225 0.25750000 0.26841199 -0.06446230 -0.07056457 
CONTCAR_AuCOOH_902234 0.18700000 0.24377286 0.11903649 0.10614570 
CONTCAR_AuCOOH_902324 0.14090000 0.18376356 -0.12079462 -0.14629513 
CONTCAR_AuCOOH_902587 0.21510000 0.27752746 -0.02013535 -0.05271630 
CONTCAR_AuCOOH_903371 0.22970000 0.23974097 -0.11000733 -0.15222883 
CONTCAR_AuCOOH_903382 0.29430000 0.33089195 -0.03615918 -0.06822945 
CONTCAR_AuCOOH_903511 0.29420000 0.33780992 0.07825682 0.05616881 
CONTCAR_AuCOOH_0092 -0.06180000 -0.03066964 -0.45153069 -0.48075262 
CONTCAR_AuCOOH_0280 -0.12540000 -0.11889579 -0.36410587 -0.39272195 
CONTCAR_AuCOOH_0872 0.46760000 0.49094283 0.20916958 0.20402374 
CONTCAR_AuCOOH_1072 0.19100000 0.21830074 -0.01326305 -0.01637796 
CONTCAR_AuCOOH_1110318 0.11480000 0.14861383 -0.17041591 -0.20170737 
CONTCAR_AuCOOH_1110365 0.23920000 0.28001547 -0.08166633 -0.09736535 
CONTCAR_AuCOOH_1110534 0.15170000 0.16893033 -0.10618756 -0.10653719 
CONTCAR_AuCOOH_1110745 0.19890000 0.22320696 -0.09972876 -0.10413247 
CONTCAR_AuCOOH_1110792 0.32160000 0.32914244 0.07549238 0.04654154 
CONTCAR_AuCOOH_2304 0.00190000 0.03426665 -0.34098536 -0.39837678 
CONTCAR_AuCOOH_2527 -0.13060000 -0.13455709 -0.34163225 -0.35955546 
CONTCAR_AuCOOH_2572 0.09230000 0.11175832 -0.30681694 -0.31432064 
CONTCAR_AuCOOH_2590 -0.00920000 0.01198360 -0.20138225 -0.26350069 
CONTCAR_AuCOOH_3430 -0.02440000 -0.00774445 -0.36939483 -0.37260697 
CONTCAR_AuCOOH_3537 -0.05360000 -0.05353311 -0.29703663 -0.38270703 
CONTCAR_AuCOOH_3584 0.49090000 0.51554942 0.25966486 0.21495575 
CONTCAR_AuCOOH_5310 0.24390000 0.27275135 -0.19439831 -0.20064439 
CONTCAR_AuCOOH_600077 0.01490000 0.03013609 -0.38391875 -0.41551273 
CONTCAR_AuCOOH_600251 -0.01890000 0.02351823 -0.16162978 -0.18241724 
CONTCAR_AuCOOH_600301 0.12430000 0.14762540 -0.23785629 -0.24924789 
CONTCAR_AuCOOH_600505 0.10170000 0.09520361 -0.18995592 -0.19569084 
CONTCAR_AuCOOH_600598 0.01630000 0.04072063 -0.38416643 -0.42493898 
CONTCAR_AuCOOH_600601 0.09220000 0.11179583 -0.32521688 -0.33528599 
CONTCAR_AuCOOH_600874 0.07940000 0.10495689 -0.26789010 -0.29043666 
CONTCAR_AuCOOH_601161 0.12370000 0.14028588 -0.27512691 -0.32194170 
CONTCAR_AuCOOH_601449 -0.03780000 -0.03149267 -0.42425206 -0.43097858 
CONTCAR_AuCOOH_601482 0.21790000 0.23649713 -0.11739320 -0.15310655 
CONTCAR_AuCOOH_601525 0.05590000 0.10054435 -0.24921365 -0.29151359 
CONTCAR_AuCOOH_601588 0.14790000 0.19439879 -0.15675714 -0.16989743 
CONTCAR_AuCOOH_601611 0.14730000 0.17863382 -0.13010234 -0.14296934 
CONTCAR_AuCOOH_601659 0.07830000 0.10478356 -0.30027038 -0.32780859 
CONTCAR_AuCOOH_601959 -0.02200000 -0.01357903 -0.22393794 -0.25125391 
CONTCAR_AuCOOH_602037 0.00470000 0.01656765 -0.11419394 -0.16066560 
CONTCAR_AuCOOH_602064 0.06030000 0.09991074 -0.16609746 -0.17156782 
CONTCAR_AuCOOH_6115 0.06260000 0.07479793 -0.08269805 -0.12472634 
CONTCAR_AuCOOH_6950 -0.03190000 -0.01723523 -0.30250426 -0.30069829 
CONTCAR_AuCOOH_6983 0.00860000 0.03935949 -0.25821804 -0.35341250 
CONTCAR_AuCOOH_700080 0.15160000 0.18709678 -0.16413157 -0.18386924 
CONTCAR_AuCOOH_700176 0.11380000 0.15562279 -0.08104689 -0.09145401 
CONTCAR_AuCOOH_700227 -0.00230000 0.00894736 -0.40135854 -0.41648621 
CONTCAR_AuCOOH_700468 0.04500000 0.07314460 -0.28457166 -0.31344332 
CONTCAR_AuCOOH_700639 0.01780000 0.03327266 -0.26006820 -0.27140178 
CONTCAR_AuCOOH_700854 0.17910000 0.21577092 -0.27096216 -0.28142116 
CONTCAR_AuCOOH_700901 0.11560000 0.13192291 -0.13132475 -0.20286386 
CONTCAR_AuCOOH_700982 0.10620000 0.12805654 -0.16557368 -0.18249072 
CONTCAR_AuCOOH_701051 0.04190000 0.08967234 -0.14451162 -0.22990509 
CONTCAR_AuCOOH_701263 0.16960000 0.20421144 -0.20392441 -0.24479252 
CONTCAR_AuCOOH_701329 -0.00530000 0.02523113 -0.32860758 -0.38271425 
CONTCAR_AuCOOH_701343 -0.05010000 -0.01538046 -0.28498395 -0.29503346 
CONTCAR_AuCOOH_701923 0.06830000 0.07595463 -0.32165420 -0.33258396 
CONTCAR_AuCOOH_702387 -0.00460000 0.01748763 -0.26362148 -0.28378693 
CONTCAR_AuCOOH_702557 0.10030000 0.12499334 -0.14817415 -0.15374477 
CONTCAR_AuCOOH_702745 0.01470000 0.03242609 -0.34545244 -0.35711711 
CONTCAR_AuCOOH_702754 0.05020000 0.05995735 -0.14030711 -0.15710867 
